STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
USW00024213,1960,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0.3,,0.3,0,131,0,77,0,12,0,0,,0,0,0,0,6,0,0,0,7,0,0,0,150, ,,,2, ,-1.1,"0,0101, ",0," ,0,1231,+",0," ,0,1231,+",54.9," ,0,1123, ",25,"0,1016, ",,,,,,,-0.6,"0,0115",,,2551.7,7,2551.7,0,1138," ,0",,,0," ,0",11.09,0,14.04,0,8.14,0,,,,,,,,,,,,,,,,,,
USW00024213,1961,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,128,0,81,0,6,0,0,,0,0,0,0,1,0,0,0,2,0,0,0,164, ,,,4, ,-1.1,"0,1211, ",0," ,0,1231,+",0," ,0,1231,+",51.1," ,0,1124,+",22.8,"0,0616, ",-1.1,"0,1211",,,,,,,,,2598,0,2598,0,1020.6," ,0",,,0," ,0",11.21,0,14.11,0,8.31,0,,,,,,,,,,,,,,,,,,
USW00024213,1962,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,102,0,64,0,7,0,0,,0,0,0,0,7,0,0,0,3,0,0,0,160, ,,,1, ,-2.8,"0,0227, ",0,"T,0,0120, ",20," ,0,0120, ",67.8," ,0,1009, ",21.1,"0,1214,+",0,"0,1224",,,,,-2.8,"0,0227",-2.8,"0,0227",2794.6,6,2794.6,0,893.9," ,0",,,20," ,0",11.01,0,13.85,0,8.18,0,,,,,,,,,,,,,,,,,,
USW00024213,1963,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,1.1,,1.1,0,128,0,79,0,9,0,0,,0,0,0,0,2,0,0,0,11,0,0,0,126, ,,,3, ,-1.1,"0,0112, ",0," ,0,1231,+",0," ,0,1231,+",58.9," ,0,0412, ",25,"0,1230, ",,,,,,,-1.1,"0,0112",,,2474.2,2,2474.2,0,1063.9," ,0",,,0," ,0",11.94,0,14.91,0,8.97,0,,,,,,,,,,,,,,,,,,
USW00024213,1964,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,1.7,,1.7,0,118,0,83,0,12,0,0,,0,0,0,0,5,0,0,0,9,0,0,0,,,,,,,-1.1,"0,1115, ",0," ,0,1231,+",8," ,0,1231, ",62.5," ,0,1108, ",28.3,"0,0924, ",0,"0,1114",,,,,,,,,2631.7,7,2631.7,0,1195.2," ,0",,,8," ,0",10.62,0,13.51,0,7.74,0,,,,,,,,,,,,,,,,,,
USW00024213,1965,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,1.4,,1.4,0,90,0,59,0,4,0,0,,0,0,0,0,3,0,0,0,8,0,0,0,,,15, ,2, ,-1.7,"0,1216, ",0," ,0,1231,+",0," ,0,1231,+",43.9," ,0,1228, ",26.7,"0,1023, ",-1.7,"0,1216",,,,,0,"0,0108",,,2775.9,9,2775.9,0,668.1," ,0",50.3,X,0," ,0",10.84,0,13.64,0,8.03,0,135000,X,,,,,,,225,X,,,,,,,18.8,X
USW00024213,1966,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,1.1,,1.1,0,106,0,68,0,12,0,1,,0,0,0,0,7,0,0,0,7,0,0,0,,,,,,,-0.6,"0,0303, ",25," ,0,0302, ",23," ,0,0302, ",65.8," ,0,1115, ",25.6,"0,0403, ",0,"0,1227",,,,,0,"0,0317",,,2644.9,9,2644.9,0,1024.3," ,0",55.1,X,26," ,0",11.12,0,14.11,0,8.12,0,150006,X,,,,,,,180,X,,,,,,,18.8,X
USW00024213,1967,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,102,0,75,0,8,0,0,,0,0,0,0,5,0,0,0,10,0,0,0,,,,,,,-1.1,"0,1215,+",0," ,0,1231,+",0,"T,0,1218, ",49," ,0,1113, ",23.3,"0,1017, ",-1.1,"0,1213",,,,,-0.6,"0,0106",,,2702.9,9,2702.9,0,943.6," ,0",51,X,0,"T,0",11.01,0,14.05,0,7.96,0,135504,X,,,,,,,135,X,,,,,,,20.1,X
USW00024213,1968,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,4.2,,4.2,0,121,0,76,0,7,0,0,,0,0,0,0,4,0,0,0,10,0,0,0,,,,,,,-1.7,"0,1221,+",0," ,0,1231,+",0,"T,0,1219,+",56.4," ,0,0114, ",27.8,"0,0830, ",-0.6,"0,1219",,,,,0,"0,0111",,,2478.8,8,2478.8,0,905.4," ,0",52.2,X,0,"T,0",11.43,0,14.41,0,8.46,0,142464,X,,,,,,,135,X,,,,,,,18.8,X
USW00024213,1969,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,126,0,79,0,8,0,0,,0,0,0,0,2,0,0,0,6,0,0,0,,,,,,,-1.7,"0,0123, ",0," ,0,1231,+",5," ,0,0128, ",78.7," ,0,0112, ",24.4,"0,1007, ",,,,,,,-1.7,"0,0123",,,2654.3,3,2654.3,0,1132.1," ,0",55.4,X,5," ,0",11.1,0,14.11,0,8.1,0,149820,X,,,,,,,135,X,,,,,,,18.8,X
USW00024213,1970,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0.9,,0.9,0,105,0,81,0,15,0,0,,0,0,0,0,1,0,0,0,9,0,0,0,,,,,,,-0.6,"0,1219, ",0," ,0,1231,+",0," ,0,1231,+",62.5," ,0,1124, ",27.2,"0,0531, ",-0.6,"0,1219",,,,,,,,,2483.9,9,2483.9,0,1203.9," ,0",56.6,X,0," ,0",11.22,0,14.27,0,8.17,0,152778,X,,,,,,,225,X,,,,,,,21.5,X
USW00024213,1971,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0.9,,0.9,0,132,0,87,0,6,0,0,,0,0,0,0,5,0,0,0,6,0,0,0,,,,,,,-0.6,"0,0103, ",0," ,0,1231,+",0,"T,0,0227,+",47.5," ,0,1109, ",23.3,"0,0916, ",0,"0,1029",,,,,0,"0,0226",,,2851.5,5,2851.5,0,985.5," ,0",54.8,X,0,"T,0",10.4,0,13.25,0,7.54,0,149460,X,,,,,,,360,X,,,,,,,18.8,X
USW00024213,1972,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0.3,,0.3,0,115,0,78,0,6,0,0,,1,0,0,0,16,0,0,0,6,0,0,0,,,,,,,-6.1,"0,1209, ",0,"T,0,1207,+",48," ,0,1207, ",63.2," ,0,0121, ",23.9,"0,0404, ",-1.1,"0,1205",-3.9,"0,1208",-6.1,"0,1209",0,"0,0202",,,2776.9,9,2776.9,0,995.5," ,0",51.2,X,89," ,0",11.06,0,13.98,0,8.14,0,137712,X,,,,,,,360,X,,,,,,,17.9,X
USW00024213,1973,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0.6,,0.6,0,144,0,96,0,8,0,0,,0,0,0,0,2,0,0,0,3,0,0,0,,,,,,,-0.6,"0,0104, ",0," ,0,1231,+",0,"T,0,0319, ",46.2," ,0,1130, ",24.4,"0,0909, ",,,,,,,0,"0,0126",,,2605.3,3,2605.3,0,1245.5," ,0",51,X,0,"T,0",11.14,0,14.03,0,8.25,0,140742,X,,,,,,,180,X,,,,,,,19.2,X
USW00024213,1974,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,112,0,63,0,10,0,0,,0,0,0,0,9,0,0,0,7,0,0,0,,,,,,,-0.6,"0,1229,+",0," ,0,1231,+",0,"T,0,1221,+",61.7," ,0,0329, ",23.9,"0,1016, ",-0.6,"0,1223",,,,,0,"0,0223",,,2702,0,2702,0,869.9," ,0",54.2,X,0,"T,0",10.99,0,13.94,0,8.04,0,148044,X,,,,,,,225,X,,,,,,,21,X
USW00024213,1975,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,124,0,83,0,12,0,0,,0,0,0,0,7,0,0,0,3,0,0,0,,,,,,,-0.6,"0,1118,+",0," ,0,1231,+",0,"T,0,0404, ",74.4," ,0,0317, ",24.4,"0,0904, ",-0.6,"0,1118",,,,,-0.6,"0,0221",,,2762.2,2,2762.2,0,1171.2," ,0",47.1,X,0,"T,0",10.45,0,13.34,0,7.56,0,130596,X,,,,,,,315,X,,,,,,,20.6,X
USW00024213,1976,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,95,0,47,0,4,0,0,,0,0,0,0,5,0,0,0,4,0,0,0,,,,,,,-1.1,"0,0101, ",0," ,0,1231,+",3," ,0,0301, ",37.6," ,0,0227, ",24.4,"0,1012,+",,,,,,,0,"0,0301",,,2900.5,5,2900.5,0,552.1," ,0",42.1,X,3," ,0",10.77,0,14.01,0,7.53,0,115008,X,,,,,,,360,X,,,,,,,16.1,X
USW00024213,1977,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0,,0,0,121,0,70,0,4,0,0,,0,0,0,0,5,0,0,0,7,0,0,0,,,,,,,-1.1,"0,1119, ",0," ,0,1231,+",3," ,0,1119, ",37.1," ,0,1025, ",23.9,"0,0918, ",0,"0,1118",,,,,0,"0,0310",,,2632.2,2,2632.2,0,744.7," ,0",46,X,3," ,0",11.17,0,14.44,0,7.89,0,127500,X,,,,,,,180,X,,,,,,,21,X
USW00024213,1978,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,0.3,,0.3,0,111,0,62,0,2,0,0,,0,0,0,0,11,0,0,0,10,0,0,0,184, ,70, ,1, ,-2.8,"0,1230, ",0," ,0,1231,+",0," ,0,1231,+",31.5," ,0,0207, ",26.1,"0,1013, ",0,"0,1113",-2.2,"0,1207",,,,,,,2325.1,1,2325.1,0,652.4," ,0",53.9,X,0," ,0",11.5,0,14.77,0,8.22,0,146838,X,,,,,,,225,X,,,,,,,20.1,X
USW00024213,1979,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,8.2,,8.2,0,122,0,80,0,4,0,0,,0,0,0,0,8,0,0,0,18,0,0,0,165, ,39, ,4, ,-2.2,"0,0202, ",0," ,0,1231,+",0," ,0,1231,+",43.9," ,0,1024, ",29.4,"0,0912, ",0,"0,1127",,,,,-1.1,"0,0203",-2.2,"0,0202",2720.9,9,2720.9,0,907.3," ,0",58,X,0," ,0",12.01,0,15.35,0,8.66,0,162294,X,,,,,135,X,135,X,,,,,24.7,X,19.7,X
USW00024213,1980,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,2.2,,2.2,0,112,0,60,0,6,0,0,,0,0,0,0,4,0,0,0,8,0,0,0,206, ,70, ,1, ,-1.7,"0,0128, ",0," ,0,1231,+",0," ,0,1231,+",80.5," ,0,1202, ",26.7,"0,1002, ",0,"0,1207",,,,,-1.1,"0,0130",,,2194.4,4,2194.4,0,774.8," ,0",44.3,X,0," ,0",11.65,0,14.85,0,8.45,0,120960,X,,,,,,,180,X,,,,,,,18.8,X
USW00024213,1981,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,2.2,,2.2,0,123,0,76,0,5,0,0,,0,0,0,0,0,0,0,0,10,0,0,0,190, ,50, ,6, ,1.7,"0,0131, ",0," ,0,1231,+",0," ,0,1231,+",85.3," ,0,1219, ",23.9,"0,0121, ",,,,,,,,,,,2367,0,2367,0,1099.8," ,0",49.8,X,0," ,0",12.1,0,15.34,0,8.86,0,140652,X,,,,,180,X,180,X,,,,,30.8,X,24.6,X
USW00024213,1982,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,2.2,,2.2,0,126,0,88,0,12,0,0,,0,0,0,0,6,0,0,0,27,0,0,0,155, ,49, ,7, ,-1.1,"0,0107,+",0," ,0,1231,+",0,"T,0,1217,+",72.1," ,0,1216, ",27.2,"0,0625, ",-0.6,"0,1224",,,,,0,"0,0317",,,2473.5,5,2473.5,0,1223.3," ,0",53.7,X,0,"T,0",11.75,0,15.72,0,7.79,0,146418,X,,,,,135,X,135,X,,,,,28.3,X,19.2,X
USW00024213,1983,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,4.4,,4.4,0,160,0,108,0,17,0,0,,1,0,0,0,2,0,0,0,26,0,0,0,191, ,35, ,10, ,0,"0,1223,+",0," ,0,1231,+",25," ,0,1223, ",70.6," ,0,1110, ",30,"0,0920, ",0,"0,1222",,,,,,,,,2067.4,4,2067.4,0,1707.9," ,0",57.7,X,25," ,0",13.12,0,16.83,0,9.4,0,163092,X,,,,,225,X,135,X,,,,,28.3,X,19.2,X
USW00024213,1984,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,2.3,,2.3,0,139,0,82,0,8,0,0,,0,0,0,0,2,0,0,0,13,0,0,0,237, ,54, ,6, ,-0.6,"0,0222, ",0," ,0,1231,+",0," ,0,1231,+",49.3," ,0,1112, ",26.7,"0,0919, ",0,"0,1219",,,,,-0.6,"0,0222",,,2052.9,9,2052.9,0,1034.3," ,0",,,0," ,0",12.04,0,15.86,0,8.22,0,191487,X,,,,,,,,,,,,,,,,
USW00024213,1985,40.8097,-124.1602,6.1,"EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND, CA US",,,1.3,,1.3,0,100,0,52,0,3,0,0,,0,0,0,0,4,0,0,0,12,0,0,0,254, ,69, ,2, ,-0.6,"0,1211,+",0," ,0,1231,+",0," ,0,1231,+",50.5," ,0,0207, ",27.2,"0,1004, ",-0.6,"0,1111",,,,,0,"0,0204",,,2431.4,4,2431.4,0,586.8," ,0",,,0," ,0",11.3,0,14.95,0,7.65,0,186688,X,,,,,360,X,360,X,,,,,25.7,X,19.7,X
