STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES
USW00023230,1958,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,148.2,,148.2,0,68,0,47,0,8,0,0,,0,0,0,0,0,0,0,0,160,0,5,0,66, ,,,4, ,0.6,"0,1117, ",0," ,0,1231,+",0," ,0,1231,+",33.5," ,0,0218, ",36.1,"0,0926, ",,,,,,,,,1408.8,8,1408.8,0,663.4," ,0",0," ,0",15.25,0,19.99,0,10.5,0,,,,,,,,,,,,,,,,
USW00023230,1959,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,132.5,,132.5,0,34,0,19,0,3,0,0,,0,0,0,0,0,0,0,0,164,0,3,0,29, ,,,,,1.1,"0,1226,+",0," ,0,1231,+",0," ,0,1231,+",80.8," ,0,0918, ",37.2,"0,0710, ",,,,,,,,,1244.3,3,1244.3,0,331.1," ,0",0," ,0",15.07,0,20.25,0,9.9,0,,,,,,,,,,,,,,,,
USW00023230,1960,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,80.7,,80.7,0,55,0,35,0,2,0,0,,0,0,0,0,3,0,0,0,113,0,4,0,59, ,,,4, ,-1.7,"0,0102, ",0," ,0,1231,+",0," ,0,1231,+",40.9," ,0,1125, ",33.9,"0,0925, ",0,"0,1207",,,-1.7,"0,0102",,,1424.1,1,1424.1,0,355.8," ,0",0," ,0",14.15,0,18.8,0,9.5,0,,,,,,,,,,,,,,,,
USW00023230,1961,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,168.5,,168.5,0,62,0,30,0,2,0,0,,0,0,0,0,9,0,0,0,113,0,13,0,62, ,,,2, ,-2.2,"0,0105, ",0," ,0,1231,+",0," ,0,1231,+",40.4," ,0,1130, ",40,"0,0614, ",,,,,0,"0,0120",-2.2,"0,0105",1705.9,9,1705.9,0,352.5," ,0",0," ,0",14.2,0,19.06,0,9.33,0,,,,,,,,,,,,,,,,
USW00023230,1962,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,60.9,,60.9,0,56,0,34,0,7,0,0,,0,0,0,0,8,0,0,0,100,0,3,0,81, ,,,1, ,-1.1,"0,0123, ",0," ,0,1231,+",0,"T,0,0121, ",115.1," ,0,1013, ",35,"0,0827,+",0,"0,1227",,,-0.6,"0,0227",,,1697.3,3,1697.3,0,571.6," ,0",0,"T,0",13.92,0,18.41,0,9.43,0,,,,,,,,,,,,,,,,
USW00023230,1963,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,66.1,,66.1,0,61,0,36,0,5,0,0,,0,0,0,0,8,0,0,0,95,0,1,0,64, ,,,3, ,-1.1,"0,0114, ",0," ,0,1231,+",0," ,0,1231,+",37.8," ,0,0327, ",34.4,"0,0726, ",,,,,0,"0,0121",,,1635,0,1635,0,485.9," ,0",0," ,0",13.98,0,17.96,0,9.99,0,,,,,,,,,,,,,,,,
USW00023230,1964,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,66,,66,0,77,0,40,0,1,0,0,,0,0,0,0,0,0,0,0,64,0,0,0,61, ,,,2, ,2.2,"0,0113, ",0," ,0,1231,+",0," ,0,1231,+",48.3," ,0,0120, ",31.7,"0,0922, ",,,,,,,,,1778.8,8,1778.8,0,428.2," ,0",0," ,0",13.83,0,17.15,0,10.5,0,,,,,,,,,,,,,,,,
USW00023230,1965,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,62.8,,62.8,0,58,0,36,0,1,0,0,,0,0,0,0,1,0,0,0,75,0,0,0,64, ,12, ,5, ,0,"0,1221, ",0," ,0,1231,+",0," ,0,1231,+",26.4," ,0,1124, ",30.6,"0,1023,+",0,"0,1221",,,,,,,1615.1,1,1615.1,0,414.5," ,0",0," ,0",14.09,0,17.49,0,10.69,0,150,X,,,,,,,17,X,,,,,,
USW00023230,1966,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,85.7,,85.7,0,48,0,32,0,1,0,0,,0,0,0,0,0,0,0,0,100,0,3,0,42, ,9, ,,,1.1,"0,1228, ",0," ,0,1231,+",0," ,0,1231,+",29.5," ,0,0129, ",33.3,"0,0927,+",,,,,,,,,1465.1,1,1465.1,0,333.2," ,0",0," ,0",14.68,0,18.25,0,11.11,0,150,X,,,,,,,15.6,X,,,,,,
USW00023230,1967,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,68.3,,68.3,0,66,0,43,0,5,0,0,,0,0,0,0,0,0,0,0,100,0,1,0,58, ,10, ,5, ,2.2,"0,1231,+",0," ,0,1231,+",0," ,0,1231,+",62," ,0,0121, ",32.2,"0,0920, ",,,,,,,,,1594.1,1,1594.1,0,609.5," ,0",0," ,0",14.25,0,17.87,0,10.62,0,20,X,,,,,,,15.6,X,,,,,,
USW00023230,1968,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,79.9,,79.9,0,70,0,38,0,2,0,0,,0,0,0,0,1,0,0,0,98,0,2,0,68, ,19, ,3, ,0,"0,1221, ",0," ,0,1231,+",0," ,0,1231,+",51.3," ,0,0130, ",34.4,"0,0916, ",0,"0,1221",,,,,,,1392.6,6,1392.6,0,437," ,0",0," ,0",14.48,0,18.1,0,10.85,0,170,X,,,,,,,15.6,X,,,,,,
USW00023230,1969,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,27.3,,27.3,0,71,0,50,0,6,0,0,,0,0,0,0,0,0,0,0,76,0,0,0,73, ,7, ,8, ,1.7,"0,0110, ",0," ,0,1231,+",0," ,0,1231,+",42.2," ,0,1015, ",30.6,"0,0505, ",,,,,,,,,1623.1,1,1623.1,0,653.2," ,0",0," ,0",13.99,0,17.62,0,10.36,0,170,X,,,,,,,14.3,X,,,,,,
USW00023230,1970,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,78,,78,0,71,0,49,0,5,0,0,,0,0,0,0,0,0,0,0,66,0,2,0,63, ,4, ,2, ,1.7,"0,0105,+",0," ,0,1231,+",0," ,0,1231,+",51.6," ,0,1128, ",35,"0,0702, ",,,,,,,,,1449.7,7,1449.7,0,643.1," ,0",0," ,0",14.27,0,17.94,0,10.6,0,40,X,,,,,45,X,15.6,X,,,,,22.1,X
USW00023230,1971,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,71.2,,71.2,0,58,0,27,0,0,0,0,,0,0,0,0,0,0,0,0,75,0,4,0,70, ,10, ,2, ,0.6,"0,0107,+",0," ,0,1231,+",0,"T,0,0113, ",21.3," ,0,0326, ",35.6,"0,0914, ",,,,,,,,,1808.1,1,1808.1,0,270.3," ,0",0,"T,0",13.4,0,17.06,0,9.73,0,150,X,,,,,180,X,13.9,X,,,,,21.1,X
USW00023230,1972,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,76.2,,76.2,0,68,0,38,0,3,0,0,,0,0,0,0,7,0,0,0,75,0,2,0,76, ,16, ,1, ,-3.3,"0,1211,+",0," ,0,1231,+",0,"T,0,1212, ",35.6," ,0,1011, ",37.2,"0,0714, ",-2.8,"0,1208",-2.8,"0,1208",,,,,1698.6,6,1698.6,0,414," ,0",0,"T,0",14.11,0,17.53,0,10.69,0,160,X,,,,,180,X,13.4,X,,,,,19,X
USW00023230,1973,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,71.6,,71.6,0,82,0,56,0,7,0,0,,0,0,0,0,1,0,0,0,78,0,4,0,93, ,7, ,1, ,0,"0,0107, ",0," ,0,1231,+",0," ,0,1231,+",52.3," ,0,1105, ",34.4,"0,0620,+",,,,,0,"0,0107",,,1645.4,4,1645.4,0,746.2," ,0",0," ,0",13.88,0,17.46,0,10.3,0,170,X,,,,,180,X,13.9,X,,,,,20.6,X
USW00023230,1974,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,61.8,,61.8,0,64,0,36,0,2,0,0,,0,0,0,0,0,0,0,0,87,0,1,0,62, ,8, ,2, ,0.6,"0,0109,+",0," ,0,1231,+",0," ,0,1231,+",51.6," ,0,0401, ",34.4,"0,0911, ",,,,,,,,,1865.1,1,1865.1,0,428.9," ,0",0," ,0",13.92,0,17.65,0,10.2,0,140,X,,,,,360,X,14.8,X,,,,,21.6,X
USW00023230,1975,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,54.2,,54.2,0,71,0,38,0,3,0,0,,0,0,0,0,1,0,0,0,63,0,2,0,67, ,9, ,1, ,0,"0,0130, ",0," ,0,1231,+",0," ,0,1231,+",29.5," ,0,1010, ",36.7,"0,0529, ",,,,,0,"0,0130",,,1529,0,1529,0,446.1," ,0",0," ,0",13.65,0,17.47,0,9.83,0,150,X,,,,,270,X,14.3,X,,,,,23.1,X
USW00023230,1976,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,103.8,,103.8,0,41,0,23,0,2,0,0,,1,0,0,0,4,0,0,0,96,0,6,0,68, ,14, ,5, ,-0.6,"0,0103, ",0,"T,0,0205, ",25," ,0,0205, ",30.5," ,0,1230, ",33.9,"0,0908,+",,,,,0,"0,0205",,,1831.6,6,1831.6,0,219.7," ,0",25," ,0",14.23,0,18.43,0,10.04,0,40,X,,,,,90,X,17.9,X,,,,,27.2,X
USW00023230,1977,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,82,,82,0,57,0,31,0,2,0,0,,0,0,0,0,0,0,0,0,109,0,3,0,69, ,13, ,2, ,1.7,"0,0118,+",0," ,0,1231,+",0," ,0,1231,+",37.6," ,0,1121, ",35,"0,0730, ",,,,,,,,,1431.3,3,1431.3,0,297.6," ,0",0," ,0",14.83,0,18.7,0,10.95,0,130,X,,,,,225,X,13,X,,,,,22.1,X
USW00023230,1978,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,115.2,,115.2,0,62,0,40,0,6,0,0,,0,0,0,0,2,0,0,0,128,0,3,0,68, ,12, ,4, ,-1.1,"0,1230, ",0," ,0,1231,+",0," ,0,1231,+",43.9," ,0,0308, ",33.9,"0,0924, ",0,"0,1220",,,,,,,1113.1,1,1113.1,0,573.6," ,0",0," ,0",15,0,18.9,0,11.1,0,210,X,,,,,180,X,15.6,X,,,,,21.1,X
USW00023230,1979,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,131.1,,131.1,0,62,0,38,0,8,0,0,,0,0,0,0,0,0,0,0,123,0,4,0,71, ,9, ,5, ,1.1,"0,0203, ",0," ,0,1231,+",0," ,0,1231,+",49.3," ,0,1224, ",36.7,"0,0912, ",,,,,,,,,1578.2,2,1578.2,0,604.4," ,0",0," ,0",14.93,0,18.57,0,11.28,0,160,X,,,,,135,X,16.1,X,,,,,22.1,X
USW00023230,1980,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,74.7,,74.7,0,53,0,31,0,0,0,0,,0,0,0,0,0,0,0,0,93,0,4,0,79, ,15, ,5, ,0.6,"0,1213, ",0," ,0,1231,+",0," ,0,1231,+",24.6," ,0,0219, ",36.7,"0,1002, ",,,,,,,,,1257.9,9,1257.9,0,345.3," ,0",0," ,0",14.8,0,18.75,0,10.84,0,210,X,,,,,45,X,13,X,,,,,19.5,X
USW00023230,1984,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,139,,139,0,55,0,37,0,5,0,0,,0,0,0,0,0,0,0,0,113,0,3,0,,,,,,,1.7,"0,1221, ",0," ,0,1231,+",0," ,0,1231,+",40.6," ,0,1016, ",32.8,"0,0910,+",,,,,,,,,1253,0,1253,0,407.5," ,0",0," ,0",14.85,0,18.64,0,11.06,0,,,,,,,,,,,,,,,,
USW00023230,1985,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,52.8,,52.8,0,,,,,,,,,,,0,0,0,0,0,0,80,0,2,0,,,,,,,1.1,"0,1228,+",,,,,,,35,"0,1003, ",,,,,,,,,1496.2,2,1496.2,0,,,,,13.96,0,17.61,0,10.31,0,,,,,,,,,,,,,,,,
USW00023230,1986,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224.2,2,1224.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023230,2000,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.8,W,66.6,,66.6,W,84,W,46,W,5,W,,,,,0,W,2,W,0,W,91,W,4,W,,,,,,,0,"W,1230,+",,,,,51.1," ,W,0213, ",37.8,"W,0614, ",0,"W,1118",,,,,,,,,,,536.8," ,W",,,13.9,W,18.41,W,9.38,W,,,40,W,40,W,,,,,23.2,W,27.7,W,,
USW00023230,2001,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.9,W,61.8,,61.8,W,87,W,45,W,3,W,,,,,0,W,2,W,0,W,116,W,5,W,,,,,,,0,"W,0118,+",,,,,35.8," ,W,1202, ",34.4,"W,0530, ",,,,,0,"W,0118",,,1806.3,3,1806.3,W,581.3," ,W",,,14,W,18.56,W,9.44,W,,,250,W,240,W,,,,,20.6,W,24.1,W,,
USW00023230,2002,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.8,W,75,,75,W,63,W,33,W,4,W,,,,,0,W,5,W,0,W,109,W,5,W,,,,,,,-1.7,"W,0130, ",,,,,64.5," ,W,1213, ",33.9,"W,0809, ",,,,,-0.6,"W,0131",,,1656.7,7,1656.7,W,486.2," ,W",,,14.07,W,18.79,W,9.36,W,,,200,W,210,W,,,,,20.1,W,24.6,W,,
USW00023230,2003,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.8,W,132.9,,132.9,W,68,W,30,W,0,W,,,,,0,W,2,W,0,W,117,W,11,W,,,,,,,0,"W,0209,+",,,,,19.6," ,W,0412, ",37.2,"W,0626, ",,,,,0,"W,0209",,,1460,0,1460,W,289.2," ,W",,,14.63,W,19.32,W,9.94,W,,,140,W,230,W,,,,,16.1,W,20.1,W,,
USW00023230,2004,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.8,W,93.3,,93.3,W,54,W,24,W,3,W,,,,,0,W,4,W,0,W,130,W,5,W,,,,,,,-1.1,"W,1204, ",,,,,46.7," ,W,1019, ",33.9,"W,0906,+",-0.6,"W,1130",,,-0.6,"W,0104",,,1428.5,5,1428.5,W,330.1," ,W",,,14.58,W,19.24,W,9.91,W,,,40,W,40,W,,,,,18.3,W,22.8,W,,
USW00023230,2005,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.7,B,22.8,,22.8,B,105,B,59,B,3,B,,,,,0,B,2,B,0,B,98,B,1,B,,,,,,,0,"B,1206,+",,,,,49," ,B,1218, ",33.3,"B,0723, ",0,"B,1127",,,,,,,1488.1,1,1488.1,B,696.7," ,B",,,14.33,B,18.76,B,9.9,B,,,270,B,200,B,,,,,19.2,B,22.8,B,,
USW00023230,2006,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.7,W,77.2,,77.2,W,96,W,53,W,2,W,,,,,0,W,1,W,0,W,102,W,3,W,206, ,8, ,3, ,-0.5,"W,1218, ",,,,,48.3," ,W,1212, ",33.9,"W,0622, ",-0.5,"W,1218",,,,,,,1553.3,3,1553.3,W,579.6," ,W",,,14.19,W,18.87,W,9.51,W,,,210,W,290,W,,,,,17.9,W,20.6,W,,
USW00023230,2007,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.6,W,63.1,,63.1,W,62,W,33,W,1,W,,,,,0,W,5,W,0,W,108,W,0,W,134, ,11, ,1, ,-2.1,"W,0116,+",,,,,32," ,W,0210, ",31.7,"W,0507,+",,,,,-0.5,"W,0118",,,1598.6,6,1598.6,W,325.4," ,W",,,14.06,W,18.68,W,9.44,W,,,270,W,270,W,,,,,17.4,W,35.3,W,,
USW00023230,2008,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.5,W,97.3,,97.3,W,74,W,33,W,3,W,,,,,0,W,0,W,0,W,101,W,8,W,175, ,15, ,8, ,0.6,"W,1220, ",,,,,50.3," ,W,0104, ",36.1,"W,0620, ",,,,,,,,,1727.6,6,1727.6,W,353.4," ,W",,,14.04,W,18.81,W,9.27,W,,,290,W,330,W,,,,,33.1,W,71.1,W,,
USW00023230,2009,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.5,W,89.7,,89.7,W,74,W,30,W,3,W,,,,,0,W,3,W,0,W,104,W,6,W,144, ,8, ,8, ,-1,"W,1208, ",,,,,60.2," ,W,1013, ",34.4,"W,0828, ",-1,"W,1208",,,-0.5,"W,0104",,,1550.2,2,1550.2,W,371.1," ,W",,,14.09,W,18.77,W,9.42,W,,,210,W,210,W,,,,,32.2,W,43.8,W,,
USW00023230,2010,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.7,W,132.3,,132.3,W,91,W,51,W,2,W,,,,,0,W,2,W,0,W,110,W,10,W,167, ,13, ,6, ,0,"W,1129,+",,,,,35.6," ,W,1219, ",37.8,"W,0928, ",0,"W,1125",,,,,,,1669.6,6,1669.6,W,576.8," ,W",,,14.52,W,18.82,W,10.21,W,,,140,W,210,W,,,,,17.4,W,58.6,W,,
USW00023230,2011,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.5,W,,,,,82,W,40,W,0,W,,,,,,,,,0,W,102,W,4,W,152, ,13, ,3, ,,,,,,,22.4," ,W,0604,+",33.9,"W,0920, ",,,,,,,,,1599.8,8,1599.8,W,408.8," ,W",,,,,18.54,W,,,,,270,W,,,,,,,18.3,W,,,,
USW00023230,2012,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.7,W,30.6,,30.6,W,67,W,40,W,7,W,0,,0,W,0,W,6,W,0,W,89,W,2,W,155, ,12, ,1, ,-2.1,"W,0117, ",0," ,W,1231,+",0," ,W,1231,+",47.8," ,W,1130, ",35,"W,1002, ",,,,,-1,"W,0118",,,,,,,582.8," ,W",0," ,W",13.88,W,18.64,W,9.13,W,,,260,W,,,,,,,19.7,W,,,,
USW00023230,2013,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.3,W,107.4,,107.4,W,27,W,12,W,0,W,0,,0,W,0,W,10,W,0,W,142,W,1,W,126, ,11, ,,,-2.1,"W,1205, ",0," ,W,1231,+",0," ,W,1231,+",22.4," ,W,0401, ",33.3,"W,0502, ",-2.1,"W,1205",,,-0.5,"W,0113",,,1396.8,8,1396.8,W,124.2," ,W",0," ,W",14.65,W,19.81,W,9.48,W,,,270,W,270,W,,,,,19.7,W,22.8,W,,
USW00023230,2014,37.7214,-122.2208,1.8,"OAKLAND METROPOLITAN, CA US",3.5,W,157.4,,157.4,W,58,W,38,W,4,W,0,,0,W,0,W,0,W,0,W,174,W,4,W,120, ,10, ,3, ,1.1,"W,0122,+",0," ,W,1231,+",0," ,W,1231,+",79.2," ,W,1211, ",33.3,"W,1004, ",,,,,,,,,1343.3,3,1343.3,W,498.7," ,W",0," ,W",15.82,W,20.49,W,11.15,W,,,20,W,360,W,,,,,18.3,W,27.7,W,,
