STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00024172,1970,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,495.2,,495.2,0,46,0,14,0,0,0,8,,2,0,1,0,179,0,13,0,148,0,74,0,19, ,5, ,9, ,-17.8,"0,1223, ",102," ,0,1220, ",76," ,0,1216, ",17," ,0,0627, ",40.6,"0,0807, ",-2.2,"0,0914",-2.2,"0,0914",-4.4,"0,1008",-6.7,"0,1016",-10.6,"0,1027",-0.6,"0,0512",-3.3,"0,0429",-5,"0,0423",-6.7,"0,0415",-9.4,"0,0404",3259,0,3259,0,116.7," ,0",138," ,0",10.62,0,19.6,0,1.64,0,,,,,,,,
USW00024172,1971,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,496.6,,496.6,0,47,0,11,0,0,0,7,,3,0,4,0,171,0,12,0,149,0,64,0,18, ,5, ,15, ,-21.7,"0,0105, ",51," ,0,0114, ",102," ,0,1203, ",12.2," ,0,1222, ",40.6,"0,0730, ",-4.4,"0,0919",-4.4,"0,0919",-4.4,"0,0919",-7.8,"0,1028",-12.2,"0,1029",-1.1,"0,0602",-2.8,"0,0518",-5,"0,0422",-8.9,"0,0401",-8.9,"0,0401",3345.7,7,3345.7,0,93," ,0",221," ,0",9.95,0,18.83,0,1.07,0,,,,,,,,
USW00024172,1972,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,510.2,,510.2,0,43,0,16,0,0,0,14,,4,0,13,0,163,0,20,0,169,0,64,0,17, ,10, ,16, ,-26.1,"0,1211, ",51," ,0,1215,+",71," ,0,0225, ",9.9," ,0,0927, ",41.7,"0,0712, ",-0.6,"0,0912",-4.4,"0,1025",-4.4,"0,1025",-8.9,"0,1029",-8.9,"0,1029",0,"0,0511",-2.8,"0,0430",-7.8,"0,0420",-7.8,"0,0420",-10,"0,0414",3431.7,7,3431.7,0,113," ,0",234," ,0",10.53,0,19.33,0,1.73,0,,,,,,,,
USW00024172,1973,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,462.6,,462.6,0,53,0,24,0,0,0,18,,4,0,2,0,159,0,10,0,166,0,71,0,20, ,6, ,9, ,-20,"0,0107, ",178," ,0,0109, ",178," ,0,0108, ",10.9," ,0,0108, ",40.6,"0,0704, ",0,"0,0915",-3.9,"0,1004",-4.4,"0,1005",-7.8,"0,1103",-15,"0,1104",0,"0,0505",-3.9,"0,0422",-6.7,"0,0408",-6.7,"0,0408",-11.7,"0,0201",3447.2,2,3447.2,0,147.9," ,0",325," ,0",10.75,0,19.05,0,2.45,0,,,,,,,,
USW00024172,1974,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,450.4,,450.4,0,38,0,13,0,0,0,2,,2,0,2,0,152,0,17,0,159,0,85,0,14, ,10, ,4, ,-20.6,"0,1231, ",51," ,0,1231, ",51," ,0,1214, ",11.4," ,0,0418, ",38.9,"0,0728,+",-1.1,"0,0928",-5,"0,1021",-5,"0,1021",-8.3,"0,1120",-9.4,"0,1123",-1.7,"0,0518",-2.8,"0,0427",-4.4,"0,0425",-7.8,"0,0404",-10.6,"0,0304",3164.2,2,3164.2,0,100.1," ,0",125," ,0",10.78,0,19.62,0,1.94,0,,,,,,,,
USW00024172,1975,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,385.2,,385.2,0,50,0,13,0,0,0,7,,3,0,5,0,183,0,9,0,153,0,52,0,30, ,13, ,7, ,-23.9,"0,0102, ",51," ,0,0102,+",102," ,0,0415, ",11.2," ,0,0910, ",40.6,"0,0726, ",-2.8,"0,1008",-2.8,"0,1008",-9.4,"0,1024",-9.4,"0,1024",-9.4,"0,1024",-2.2,"0,0507",-2.2,"0,0507",-5.6,"0,0416",-7.8,"0,0407",-9.4,"0,0402",3399.4,4,3399.4,0,94.7," ,0",270," ,0",9.93,0,18.55,0,1.3,0,,,,,,,,
USW00024172,1976,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,303.5,,303.5,0,38,0,17,0,1,0,0,,0,0,2,0,170,0,4,0,174,0,43,0,12, ,5, ,14, ,-18.3,"0,1221, ",0,"T,0,0319,+",5," ,0,0204, ",30," ,0,0822, ",37.8,"0,0709, ",-0.6,"0,1014",-3.9,"0,1019",-5,"0,1021",-7.2,"0,1028",-10,"0,1127",0,"0,0428",-7.8,"0,0427",-7.8,"0,0427",-7.8,"0,0427",-10.6,"0,0417",3260.6,6,3260.6,0,165.9," ,0",5," ,0",10.21,0,19.59,0,0.83,0,,,,,,,,
USW00024172,1977,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,497.1,,497.1,0,42,0,21,0,1,0,2,,3,0,1,0,165,0,3,0,169,0,66,0,16, ,6, ,12, ,-17.8,"0,0109, ",51," ,0,0102, ",191," ,0,1226, ",28.2," ,0,0609, ",40,"0,0801, ",-0.6,"0,0921",-4.4,"0,0923",-4.4,"0,0923",-10,"0,1109",-10,"0,1109",0,"0,0518",-6.1,"0,0420",-6.1,"0,0420",-7.8,"0,0403",-11.7,"0,0329",3332.9,9,3332.9,0,149.8," ,0",321," ,0",11.08,0,20.15,0,2,0,,,,,,,,
USW00024172,1978,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,363,,363,0,53,0,23,0,0,0,18,,4,0,12,0,152,0,17,0,169,0,53,0,33, ,18, ,9, ,-29.4,"0,1231, ",152," ,0,1221,+",229," ,0,1218, ",17.8," ,0,1218, ",41.1,"0,0725, ",-0.6,"0,0918",-3.3,"0,0919",-5,"0,1023",-6.7,"0,1026",-12.8,"0,1112",-1.7,"0,0422",-3.3,"0,0418",-4.4,"0,0316",-7.2,"0,0315",-10,"0,0216",2873.9,9,2873.9,0,164.5," ,0",330," ,0",10.31,0,19.07,0,1.54,0,,,,,,,,
USW00024172,1979,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,463.5,,463.5,0,40,0,18,0,0,0,14,,4,0,2,0,159,0,12,0,173,0,66,0,11, ,6, ,9, ,-25,"0,0102, ",76," ,0,0109,+",25," ,0,0125,+",13.2," ,0,0426, ",41.1,"0,0717, ",-1.7,"0,1021",-2.8,"0,1022",-7.2,"0,1030",-7.2,"0,1030",-8.9,"0,1112",-1.1,"0,0510",-6.1,"0,0420",-6.1,"0,0420",-7.2,"0,0419",-8.9,"0,0205",3471.7,7,3471.7,0,121.3," ,0",100," ,0",10.92,0,19.88,0,1.97,0,,,,,,,,
USW00024172,1980,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,354.4,,354.4,0,53,0,18,0,0,0,1,,1,0,0,0,161,0,1,0,168,0,55,0,16, ,7, ,12, ,-15.6,"0,1210, ",25," ,0,0128, ",25," ,0,0127, ",14," ,0,0113, ",40,"0,0727,+",-0.6,"0,1013",-6.1,"0,1017",-6.1,"0,1017",-7.8,"0,1029",-8.9,"0,1114",-0.6,"0,0421",-2.8,"0,0413",-4.4,"0,0408",-7.2,"0,0403",-9.4,"0,0328",3068.7,7,3068.7,0,140.9," ,0",38," ,0",10.9,0,19.79,0,2.02,0,,,,,,,,
USW00024172,1981,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,562,,562,0,43,0,14,0,0,0,0,,0,0,0,0,155,0,0,0,172,0,93,0,4, ,1, ,5, ,-12.2,"0,0203,+",0," ,0,1231,+",0,"T,0,1228,+",17.3," ,0,0519, ",40,"0,0704, ",-2.2,"0,0924",-2.2,"0,0924",-6.1,"0,1014",-9.4,"0,1126",-9.4,"0,1126",-1.1,"0,0507",-6.1,"0,0412",-6.1,"0,0412",-6.7,"0,0411",-10,"0,0317",2925.6,6,2925.6,0,113.9," ,0",0,"T,0",12.02,0,21.26,0,2.78,0,,,,,,,,
USW00024172,1982,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,438.7,,438.7,0,49,0,18,0,1,0,,,,,13,0,163,0,19,0,152,0,65,0,,,,,,,-28.3,"0,0107, ",,,,,27.2," ,0,1130, ",40,"0,0731, ",0,"0,1001",-2.8,"0,1008",-4.4,"0,1028",-6.7,"0,1108",-8.9,"0,1116",0,"0,0528",-2.2,"0,0511",-4.4,"0,0417",-9.4,"0,0317",-9.4,"0,0317",3299.2,2,3299.2,0,171.1," ,0",,,9.81,0,17.97,0,1.66,0,,,,,,,,
USW00024172,1989,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,344.5,,344.5,0,38,0,10,0,0,0,29,,2,0,5,0,168,0,14,0,176,0,64,0,2, ,,,,,-31.7,"0,0207, ",127," ,0,0204, ",168," ,0,0203, ",13.5," ,0,0917, ",40,"0,0719, ",-2.8,"0,1004",-2.8,"0,1004",-6.1,"0,1026",-7.2,"0,1028",-10,"0,1029",0,"0,0531",-2.2,"0,0530",-5,"0,0425",-8.9,"0,0320",-8.9,"0,0320",3325.1,1,3325.1,0,81," ,0",306," ,0",9.96,0,19.91,0,0,0,,,,,,,,
USW00024172,1990,40.0681,-118.5692,1189.3,"LOVELOCK DERBY FIELD AIRPORT, NV US",,,388,,388,0,40,0,15,0,1,0,19,,5,0,16,0,172,0,16,0,182,0,70,0,22, ,9, ,15, ,-33.3,"0,1222, ",102," ,0,1219, ",56," ,0,0217, ",29.7," ,0,0417, ",40,"0,0807,+",-1.1,"0,1003",-2.2,"0,1007",-7.2,"0,1008",-7.2,"0,1008",-10.6,"0,1020",0,"0,0516",-2.8,"0,0402",-5,"0,0401",-6.7,"0,0331",-15.6,"0,0313",3261.9,9,3261.9,0,123.1," ,0",316," ,0",9.84,0,20,0,-0.33,0,,,,,,,,
