STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HN01,HN01_ATTRIBUTES,HN02,HN02_ATTRIBUTES,HN03,HN03_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,HX01,HX01_ATTRIBUTES,HX02,HX02_ATTRIBUTES,HX03,HX03_ATTRIBUTES,LN01,LN01_ATTRIBUTES,LN02,LN02_ATTRIBUTES,LN03,LN03_ATTRIBUTES,LX01,LX01_ATTRIBUTES,LX02,LX02_ATTRIBUTES,LX03,LX03_ATTRIBUTES,MN01,MN01_ATTRIBUTES,MN02,MN02_ATTRIBUTES,MN03,MN03_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MX01,MX01_ATTRIBUTES,MX02,MX02_ATTRIBUTES,MX03,MX03_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES
USC00042294,1893-12,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,5.6,"1,6",,,,,,,,,,,0,"1,6",2,"1,6",0,",6",15,",6",0,",6",,,,,-4.4,"1,6,28,",,,,,,,31.1,",6,09,+",,,,,,,,,,,170.6,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63,"1,6",19.51,",,,6",5.74,"1,,,6",,
USC00042294,1894-01,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",0,6,0,"2,6",10,",6",8,",6",2,",6",,,,,0,"1,6",4,"1,6",0,"1,6",7,"1,6",0,"1,6",5,,,,-1.1,"1,6,06,",,,,,57.7,",,6,15,",25.6,"1,6,11,",,,,,,,,,,,214.5,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.2,",,,6",,,10.64,"2,6",17.09,"1,,,6",4.18,"1,,,6",,
USC00042294,1894-02,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",0,6,0,",6",,,,,,,,,,,0,",6",1,",6",0,",6",15,",6",0,",6",,,,,-0.6,",6,11,",,,,,,,27.2,",6,26,",,,,,,,,,,,163.7,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49,",6",19.58,",,,6",5.39,",,,6",,
USC00042294,1894-03,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",12.8,6,12.8,",6",4,",6",3,",6",0,",6",,,,,0,",6",1,",6",0,",6",25,",6",1,",6",,,,,-1.1,",6,02,",,,,,5.6,",,6,02,",32.2,",6,29,",,,,,,,,,,,98.2,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,",,,6",,,15.58,",6",24.11,",,,6",7.05,",,,6",,
USC00042294,1894-04,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",75.2,6,62.4,"1,6",2,",6",2,",6",0,",6",,,,,0,"1,6",0,"1,6",0,",6",28,",6",7,",6",,,,,5,"1,6,27,",,,,,4.8,",,6,27,",36.1,",6,12,",,,,,,,,,,,25.3,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,",,,6",,,19.63,"1,6",28.38,",,,6",10.88,"1,,,6",,
USC00042294,1894-06,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,49.6,",6",5,",6",3,",6",1,",6",,,,,0,",6",0,",6",0,",6",27,",6",2,",6",,,,,10.6,",6,25,+",,,,,27.9,",,6,04,",34.4,",6,30,",,,,,,,,,,,13.8,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,",,,6",,,19.52,",6",26.57,",,,6",12.48,",,,6",,
USC00042294,1894-07,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,171.1,",6",0,",6",0,",6",0,",6",,,,,0,",6",0,",6",0,",6",31,",6",26,",6",,,,,10,",6,31,+",,,,,0,",,6,31,+",38.3,",6,17,",,,0,6,,,,,,,0,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,",,,6",,,23.85,",6",34.04,",,,6",13.66,",,,6",,
USC00042294,1894-08,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,192.6,",6",,,,,,,,,,,0,",6",0,",6",0,",6",31,",6",21,",6",,,,,10.6,",6,12,",,,,,,,41.1,",6,28,+",,,0,6,,,,,,,0,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.55,",6",34.12,",,,6",14.98,",,,6",,
USC00042294,1894-09,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,143.3,"1,6",1,",6",1,",6",0,",6",,,,,0,",6",0,",6",0,"1,6",28,"1,6",18,"1,6",,,,,8.3,",6,30,",,,,,24.9,",,6,30,",37.2,"1,6,21,",,,7.5,6,,,,,,,7.5,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,",,,6",,,23.05,"1,6",31.92,"1,,,6",14.18,",,,6",,
USC00042294,1894-10,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,,,5,",6",4,",6",0,",6",,,,,0,",6",0,",6",,,,,,,,,,,7.2,",6,31,",,,,,9.7,",,6,21,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,",,,6",,,,,,,10.84,",,,6",,
USC00042294,1894-11,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,28.7,",6",1,",6",1,",6",0,",6",,,,,0,",6",0,",6",0,",6",26,",6",0,",6",,,,,1.7,",6,30,+",,,,,8.9,",,6,28,",31.7,",6,09,+",,,,,,,,,,,40.6,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,",,,6",,,17.94,",6",27.62,",,,6",8.25,",,,6",,
USC00042294,1894-12,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,,,22,",6",18,",6",3,",6",,,,,0,",6",1,",6",,,,,,,,,,,-0.6,",6,26,",,,,,37.1,",,6,18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.3,",,,6",,,,,,,5.77,",,,6",,
USC00042294,1895-01,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,,,,,,,,,,,,,0,",6",0,",6",,,,,,,,,,,0.6,",6,29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,",,,6",,
USC00042294,1895-02,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,4.5,"4,6",5,",6",5,",6",0,",6",,,,,0,",6",0,",6",0,"4,6",18,"4,6",0,"4,6",,,,,1.1,",6,26,",,,,,18,",,6,12,",28.9,"4,6,26,",,,,,,,,,,,69.2,"4,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2,",,,6",,,15.41,"4,6",24.02,"4,,,6",6.81,",,,6",,
USC00042294,1895-03,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,7.5,"1,6",6,",6",5,",6",0,",6",,,,,0,",6",0,",6",0,"1,6",22,"1,6",0,"1,6",,,,,1.1,",6,15,",,,,,10.7,",,6,20,",29.4,"1,6,05,+",,,,,,,,,,,70.6,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,",,,6",,,16.23,"1,6",24.41,"1,,,6",8.04,",,,6",,
USC00042294,1895-04,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,21.8,",6",3,",6",2,",6",0,",6",,,,,0,",6",0,",6",0,",6",25,",6",3,",6",,,,,4.4,",6,12,+",,,,,9.9,",,6,28,",33.9,",6,22,",,,,,,,,,,,53.8,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,",,,6",,,17.27,",6",25.43,",,,6",9.1,",,,6",,
USC00042294,1895-05,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,44.8,",6",3,",6",2,",6",0,",6",,,,,0,",6",0,",6",0,",6",30,",6",3,",6",,,,,7.2,",6,20,",,,,,6.4,",,6,02,",33.9,",6,13,+",,,,,,,,,,,17.8,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,",,,6",,,19.2,",6",26.85,",,,6",11.55,",,,6",,
USC00042294,1895-06,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,162.7,",6",,,,,,,,,,,0,",6",0,",6",0,",6",30,",6",18,",6",,,,,11.7,",6,02,",,,,,,,38.9,",6,23,",,,,,,,,,,,0,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.76,",6",32.31,",,,6",15.2,",,,6",,
USC00042294,1895-07,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,151.6,",6",1,",6",0,",6",0,",6",,,,,0,",6",0,",6",0,",6",31,",6",16,",6",,,,,11.7,",6,30,",,,,,0.5,",,6,05,",37.8,",6,14,",,,1.4,6,,,,,,,1.4,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,",,,6",,,23.18,",6",31.75,",,,6",14.6,",,,6",,
USC00042294,1895-08,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,162.6,",6",,,,,,,,,,,0,",6",0,",6",0,",6",31,",6",23,",6",,,,,9.4,",6,30,",,,,,,,38.9,",6,05,",,,1.4,6,,,,,,,0,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.58,",6",33.55,",,,6",13.6,",,,6",,
USC00042294,1895-09,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,80.9,",6",3,",6",3,",6",0,",6",,,,,0,",6",0,",6",0,",6",27,",6",9,",6",,,,,5,",6,03,",,,,,11.4,",,6,12,",37.2,",6,27,",,,6.7,6,,,,,,,5.3,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,",,,6",,,20.85,",6",29.67,",,,6",12.04,",,,6",,
USC00042294,1895-10,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,58.2,",6",1,",6",0,",6",0,",6",,,,,0,",6",0,",6",0,",6",31,",6",6,",6",,,,,4.4,",6,30,",,,,,0.8,",,6,16,",33.9,",6,04,",,,19.8,6,,,,,,,13.1,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,",,,6",,,19.79,",6",28.55,",,,6",11.02,",,,6",,
USC00042294,1895-11,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,12,"2,6",4,",6",4,",6",0,",6",,,,,0,",6",1,",6",0,"2,6",25,"2,6",1,"2,6",,,,,0,",6,24,",,,,,10.7,",,6,06,",32.2,"2,6,16,",,,108.2,6,,,,,,,88.4,"2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,",,,6",,,15.63,"2,6",24.33,"2,,,6",6.93,",,,6",,
USC00042294,1895-12,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,0.3,"5,6",6,",6",4,",6",0,",6",,,,,0,",6",6,",6",0,"5,6",11,"5,6",0,"5,6",,,,,-1.7,",6,23,",,,,,10.9,",,6,20,",27.8,"5,6,07,",,,301.7,6,,,,,,,193.5,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,",,,6",,,10.84,"5,6",18.04,"5,,,6",3.64,",,,6",,
USC00042294,1896-01,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,,,14,",6",13,",6",5,",6",,,,,0,",6",4,",6",,,,,,,,,,,-1.1,",6,04,",,,,,49.8,",,6,20,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.1,",,,6",,,,,,,7.66,",,,6",,
USC00042294,1896-02,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,25.7,"3,6",3,",6",0,",6",0,",6",,,,,0,",6",0,",6",0,"3,6",25,"3,6",2,"3,6",,,,,5,",6,08,+",,,,,1.8,",,6,01,",32.2,"3,6,18,+",,,,,,,,,,,14.5,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,",,,6",,,18.63,"3,6",29.1,"3,,,6",8.17,",,,6",,
USC00042294,1896-03,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,28.9,",6",14,",6",6,",6",0,",6",,,0,",6",0,",6",1,",6",0,",6",22,",6",1,",6",,,,,0,",6,27,",,,0,",T,6,03,",16,",,6,16,",33.3,",6,13,",,,,,,,,,,,83.3,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4,",,,6",0,",T,,6",16.58,",6",24.16,",,,6",8.99,",,,6",,
USC00042294,1896-04,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,1.1,",6",13,",6",8,",6",2,",6",,,,,0,",6",0,",6",0,",6",22,",6",0,",6",,,,,3.9,",6,20,",,,,,86.9,",,6,24,",29.4,",6,02,",,,,,,,,,,,94.5,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,",,,6",,,15.22,",6",22.74,",,,6",7.7,",,,6",,
USC00042294,1896-05,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,38,",6",4,",6",3,",6",0,",6",,,,,0,",6",0,",6",0,",6",27,",6",3,",6",,,,,6.7,",6,10,+",,,,,9.9,",,6,22,",33.9,",6,27,",,,,,,,,,,,38.2,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,",,,6",,,18.33,",6",25.49,",,,6",11.17,",,,6",,
USC00042294,1896-06,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,132.9,"2,6",,,,,,,,,,,0,"2,6",0,"2,6",0,"2,6",27,"2,6",16,"2,6",,,,,10,"2,6,03,",,,,,,,38.9,"2,6,22,",,,,,,,,,,,5,"2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,"2,6",31.5,"2,,,6",14.3,"2,,,6",,
USC00042294,1896-08,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,163.8,",6",3,",6",2,",6",0,",6",,,,,0,",6",0,",6",0,",6",31,",6",22,",6",,,,,11.7,",6,29,+",,,,,7.1,",,6,30,",37.2,",6,18,",,,,,,,,,,,0,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,",,,6",,,23.62,",6",32.83,",,,6",14.4,",,,6",,
USC00042294,1896-09,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,119.1,",6",2,",6",2,",6",0,",6",,,,,0,",6",0,",6",0,",6",29,",6",14,",6",,,,,8.3,",6,13,",,,,,12.7,",,6,19,",36.7,",6,22,",,,,,,,,,,,2.3,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,",,,6",,,22.23,",6",31.49,",,,6",12.96,",,,6",,
USC00042294,1896-10,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,71.4,",6",3,",6",2,",6",0,",6",,,,,0,",6",0,",6",0,",6",30,",6",9,",6",,,,,7.2,",6,26,+",,,,,20.6,",,6,27,",35.6,",6,04,",,,,,,,,,,,23.6,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,",,,6",,,19.87,",6",28.75,",,,6",11,",,,6",,
USC00042294,1896-11,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,0,",6",8,",6",6,",6",1,",6",,,,,0,",6",2,",6",0,",6",20,",6",0,",6",,,,,-1.1,",6,29,",,,,,54.9,",,6,24,",27.8,",6,10,",,,,,,,,,,,132.4,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.7,",,,6",,,13.92,",6",21.45,",,,6",6.39,",,,6",,
USC00042294,1896-12,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,0,"1,6",12,",6",7,",6",0,",6",,,,,0,"1,6",0,"1,6",0,",6",11,",6",0,",6",,,,,1.1,"1,6,01,",,,,,13.2,",,6,15,",26.7,",6,02,",,,,,,,,,,,168.8,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2,",,,6",,,12.77,"1,6",19.07,",,,6",6.47,"1,,,6",,
USC00042294,1897-01,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",0,,0,"1,6",12,",6",7,",6",1,",6",,,,,0,",6",1,",6",0,"1,6",5,"1,6",0,"1,6",,,,,0,",6,09,",,,,,30.5,",,6,29,",24.4,"1,6,25,",,,,,,,,,,,266.1,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.2,",,,6",,,9.46,"1,6",14.24,"1,,,6",4.68,",,,6",,
USC00042294,1897-02,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",0,,0,",6",14,",6",9,",6",1,",6",,,,,0,",6",0,",6",0,",6",15,",6",0,",6",,,,,1.1,",6,24,+",,,,,36.1,",,6,01,",27.8,",6,26,",,,,,,,,,,,145.1,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.9,",,,6",,,13.15,",6",19.83,",,,6",6.47,",,,6",,
USC00042294,1897-03,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",0,,0,",6",14,",6",9,",6",0,",6",,,,,0,",6",0,",6",0,",6",20,",6",0,",6",,,,,1.7,",6,29,",,,,,21.1,",,6,28,",27.8,",6,24,+",,,,,,,,,,,155.5,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.6,",,,6",,,13.32,",6",21.16,",,,6",5.47,",,,6",,
USC00042294,1897-04,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",57.8,,57.8,",6",4,",6",1,",6",0,",6",,,,,0,",6",0,",6",0,",6",28,",6",8,",6",,,,,5,",6,02,",,,,,9.4,",,6,01,",34.4,",6,14,",,,,,,,,,,,22.3,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,",,,6",,,19.52,",6",28.24,",,,6",10.8,",,,6",,
USC00042294,1897-05,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",131.2,,73.4,",6",2,",6",1,",6",0,",6",,,,,0,",6",0,",6",0,",6",30,",6",5,",6",,,,,8.3,",6,05,",,,,,2.5,",,6,17,",33.9,",6,19,",,,,,,,,,,,9.4,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,",,,6",,,20.4,",6",28.6,",,,6",12.19,",,,6",,
USC00042294,1897-07,38.5349,-121.7761,18.3,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",,,202.1,",6",,,,,,,,,,,0,",6",0,",6",0,",6",31,",6",27,",6",,,,,10,",6,28,",,,,,,,40,",6,13,+",,,0,,,,,,,,0,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85,",6",34.32,",,,6",15.39,",,,6",,
